"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000272275.1","ENSG00000272275.1",0.802258950628122,2.23057399815848,0.000681559517557954,"209","152","0.448315097739676",0.613546663428259,0.0318369892246533,"ENSG00000272275",NA,NA
"ENSG00000277911.1","ENSG00000277911.1",-0.51442400356393,0.597844851967273,0.0319154428607022,"197","164","1.67267476956503",0.547847471006133,0.0320818646162339,"ENSG00000277911",NA,NA
"ENSG00000127220.6","ENSG00000127220.6",1.64017092142919,5.15605071648164,0.0221515163561651,"38","323","0.193946889778147",0.554860647276702,0.0100438165879166,"ENSG00000127220","ABHD8","abhydrolase domain containing 8"
"ENSG00000171450.6","ENSG00000171450.6",0.60489327699334,1.83105678257252,0.00933422717880889,"205","156","0.54613270845433",0.594571619406157,0.0320738848241388,"ENSG00000171450","CDK5R2","cyclin dependent kinase 5 regulatory subunit 2"
"ENSG00000229320.3","ENSG00000229320.3",0.83230464665792,2.29861012467813,0.000545990831152146,"198","163","0.435045503917298",0.626874734349384,0.0307446888698734,"ENSG00000229320","KRT8P12","keratin 8 pseudogene 12"
"ENSG00000172171.11","ENSG00000172171.11",-0.580123416356122,0.5598292702131,0.0147979711817687,"105","256","1.78625887070776",0.565820632703868,0.0319539781838183,"ENSG00000172171","TEFM","transcription elongation factor, mitochondrial"
"ENSG00000286994.1","ENSG00000286994.1",-0.66316550605894,0.515217825266508,0.00651401618635509,"191","170","1.94092663522022",0.581273908555468,0.0311136214951768,"ENSG00000286994",NA,NA
"ENSG00000163866.9","ENSG00000163866.9",4.43198392136617,84.0980955255334,5.00627866396075e-05,"360","1","0.0118908756940445",0.510352784018459,0.0102166984751504,"ENSG00000163866","SMIM12","small integral membrane protein 12"
"ENSG00000214578.5","ENSG00000214578.5",0.551035826643041,1.73504929767907,0.047348804784153,"123","238","0.576352499803709",0.552705082275791,0.0295591490689463,"ENSG00000214578",NA,NA
"ENSG00000275557.1","ENSG00000275557.1",2.02450038108134,7.57232672169246,0.0445438842626757,"34","327","0.132059806285867",0.546572348047847,0.0094779502451964,"ENSG00000275557",NA,NA
