"Model","Train_C_index","Test_C_index","Train_MAE","Test_MAE","Train_IBS","Test_IBS"
"Model1",0.77,0.64,51.99,50.1,0.203,0.454
"Model4",0.78,0.63,52.46,50.36,0.217,0.475
"Model5",0.85,0.68,52.78,53.99,0.192,0.496
